transaction_date,source,product_name,transaction_type,amount,net_amount,year,month,month_name,year_month
2023-11-18,Amazon,Pokemon TCG S&V 3.5 Pokemon 151 Ultra Premium Collection,Sale,95.99,95.99,2023,11,Nov,2023-11
2023-11-21,Amazon,Pokemon TCG: Scarlet & Violet Elite Trainer Box,Sale,36.95,36.95,2023,11,Nov,2023-11
2023-11-22,Amazon,Pokemon TCG: Sword & Shield Silver Tempest Elite Trainer Box,Sale,33.99,33.99,2023,11,Nov,2023-11
2023-11-26,Amazon,Pokemon TCG: Crown Zenith Tin,Sale,18.75,18.75,2023,11,Nov,2023-11
2023-11-27,Amazon,Pokemon TCG: Crown Zenith Tin,Sale,19.99,19.99,2023,11,Nov,2023-11
2023-12-03,Amazon,Pokemon TCG: Crown Zenith Elite Trainer Box,Sale,34.99,34.99,2023,12,Dec,2023-12
2023-12-09,Amazon,Pokemon TCG S&V 3.5 Pokemon 151 Elite Trainer Box,Sale,49.99,49.99,2023,12,Dec,2023-12
2023-12-15,Amazon,Pokemon TCG S&V 3.5 Pokemon 151 Elite Trainer Box,Sale,43.99,43.99,2023,12,Dec,2023-12
2023-12-15,Amazon,Pokemon TCG S&V 3.5 Pokemon 151 Alakazam Ex Box,Sale,21.99,21.99,2023,12,Dec,2023-12
2024-02-21,Amazon,Pokemon TCG: S&V Paradox Rift Booster Bundle,Sale,21.49,21.49,2024,2,Feb,2024-02
2024-03-15,Amazon,Pokemon TCG: Pokemon GO Premier Deck Holder Collection Dragonite VSTAR,Sale,34.69,34.69,2024,3,Mar,2024-03
2024-04-03,Best Buy,Pokemon TCG: Combined Powers Premium Collection,Sale,39.99,39.99,2024,4,Apr,2024-04
2024-04-22,Amazon,Pokemon TCG S&V 3.5 Pokemon 151 Binder Collection,Sale,26.98,26.98,2024,4,Apr,2024-04
2024-05-10,Amazon,Pokemon TCG: S&V Twilight Masquerade Build and Battle,Sale,19.97,19.97,2024,5,May,2024-05
2024-05-12,Amazon,Pokemon TCG: S&V Twilight Masquerade Elite Trainer Box,Sale,39.02,39.02,2024,5,May,2024-05
2024-05-21,TCGplayer,,Sale,7.37,7.37,2024,5,May,2024-05
2024-05-26,TCGplayer,,Sale,49.21,49.21,2024,5,May,2024-05
2024-05-26,TCGplayer,,Sale,30.63,30.63,2024,5,May,2024-05
2024-05-28,TCGplayer,,Sale,25.25,25.25,2024,5,May,2024-05
2024-05-28,TCGplayer,,Sale,18.99,18.99,2024,5,May,2024-05
2024-05-28,TCGplayer,,Sale,20.3,20.3,2024,5,May,2024-05
2024-06-03,TCGplayer,,Sale,35.9,35.9,2024,6,Jun,2024-06
2024-06-06,TCGplayer,,Sale,5.71,5.71,2024,6,Jun,2024-06
2024-06-06,TCGplayer,,Sale,22.0,22.0,2024,6,Jun,2024-06
2024-06-08,TCGplayer,,Sale,5.85,5.85,2024,6,Jun,2024-06
2024-06-08,TCGplayer,,Sale,6.86,6.86,2024,6,Jun,2024-06
2024-06-09,TCGplayer,,Sale,11.93,11.93,2024,6,Jun,2024-06
2024-06-14,TCGplayer,,Sale,6.64,6.64,2024,6,Jun,2024-06
2024-06-15,TCGplayer,,Sale,12.37,12.37,2024,6,Jun,2024-06
2024-06-15,TCGplayer,,Sale,112.34,112.34,2024,6,Jun,2024-06
2024-06-16,TCGplayer,,Sale,6.9,6.9,2024,6,Jun,2024-06
2024-06-16,TCGplayer,,Sale,5.83,5.83,2024,6,Jun,2024-06
2024-06-21,TCGplayer,,Sale,6.11,6.11,2024,6,Jun,2024-06
2024-06-23,TCGplayer,,Sale,11.11,11.11,2024,6,Jun,2024-06
2024-06-23,TCGplayer,,Sale,5.63,5.63,2024,6,Jun,2024-06
2024-06-23,TCGplayer,,Sale,12.32,12.32,2024,6,Jun,2024-06
2024-06-23,TCGplayer,,Sale,11.44,11.44,2024,6,Jun,2024-06
2024-06-27,TCGplayer,,Sale,5.35,5.35,2024,6,Jun,2024-06
2024-06-27,TCGplayer,,Sale,9.68,9.68,2024,6,Jun,2024-06
2024-06-27,TCGplayer,,Sale,14.62,14.62,2024,6,Jun,2024-06
2024-06-27,TCGplayer,,Sale,10.79,10.79,2024,6,Jun,2024-06
2024-06-30,TCGplayer,,Sale,89.95,89.95,2024,6,Jun,2024-06
2024-06-30,TCGplayer,,Sale,8.83,8.83,2024,6,Jun,2024-06
2024-06-30,TCGplayer,,Sale,23.3,23.3,2024,6,Jun,2024-06
2024-07-01,TCGplayer,,Sale,8.58,8.58,2024,7,Jul,2024-07
2024-07-02,TCGplayer,,Sale,7.0,7.0,2024,7,Jul,2024-07
2024-07-03,TCGplayer,,Sale,17.63,17.63,2024,7,Jul,2024-07
2024-07-05,TCGplayer,,Sale,24.53,24.53,2024,7,Jul,2024-07
2024-07-07,TCGplayer,,Sale,8.88,8.88,2024,7,Jul,2024-07
2024-07-08,TCGplayer,,Sale,27.54,27.54,2024,7,Jul,2024-07
2024-07-08,TCGplayer,,Sale,5.61,5.61,2024,7,Jul,2024-07
2024-07-12,TCGplayer,,Sale,21.1,21.1,2024,7,Jul,2024-07
2024-07-12,TCGplayer,,Sale,42.73,42.73,2024,7,Jul,2024-07
2024-07-13,TCGplayer,,Sale,49.11,49.11,2024,7,Jul,2024-07
2024-07-13,TCGplayer,,Sale,41.36,41.36,2024,7,Jul,2024-07
2024-07-13,Best Buy,Pokemon TCG: S&V Shrouded Fable Special Illustration Collection (Kingdra/Greninja),Sale,24.99,24.99,2024,7,Jul,2024-07
