transaction_date,post_date,transaction_type,amount,year,month,month_name,year_month,net_amount
2024-05-21,2024-05-21,Sale,7.37,2024,5,May,2024-05,7.37
2024-05-26,2024-05-26,Sale,30.63,2024,5,May,2024-05,30.63
2024-05-26,2024-05-26,Sale,49.21,2024,5,May,2024-05,49.21
2024-05-28,2024-05-28,Sale,20.3,2024,5,May,2024-05,20.3
2024-05-28,2024-05-28,Sale,25.25,2024,5,May,2024-05,25.25
2024-05-28,2024-05-28,Sale,18.99,2024,5,May,2024-05,18.99
2024-06-03,2024-06-04,Sale,35.9,2024,6,Jun,2024-06,35.9
2024-06-06,2024-06-07,Sale,5.71,2024,6,Jun,2024-06,5.71
2024-06-06,2024-06-06,Sale,22.0,2024,6,Jun,2024-06,22.0
2024-06-08,2024-06-09,Sale,5.85,2024,6,Jun,2024-06,5.85
2024-06-08,2024-06-09,Sale,6.86,2024,6,Jun,2024-06,6.86
2024-06-09,2024-06-09,Sale,11.93,2024,6,Jun,2024-06,11.93
2024-06-14,2024-06-14,Sale,6.64,2024,6,Jun,2024-06,6.64
2024-06-15,2024-06-16,Sale,112.34,2024,6,Jun,2024-06,112.34
2024-06-15,2024-06-16,Sale,12.37,2024,6,Jun,2024-06,12.37
2024-06-16,2024-06-16,Sale,6.9,2024,6,Jun,2024-06,6.9
2024-06-16,2024-06-16,Sale,5.83,2024,6,Jun,2024-06,5.83
2024-06-21,2024-06-21,Sale,6.11,2024,6,Jun,2024-06,6.11
2024-06-23,2024-06-23,Sale,11.11,2024,6,Jun,2024-06,11.11
2024-06-23,2024-06-23,Sale,11.44,2024,6,Jun,2024-06,11.44
2024-06-23,2024-06-23,Sale,12.32,2024,6,Jun,2024-06,12.32
2024-06-23,2024-06-23,Sale,5.63,2024,6,Jun,2024-06,5.63
2024-06-27,2024-06-28,Sale,10.79,2024,6,Jun,2024-06,10.79
2024-06-27,2024-06-27,Sale,14.62,2024,6,Jun,2024-06,14.62
2024-06-27,2024-06-27,Sale,9.68,2024,6,Jun,2024-06,9.68
2024-06-27,2024-06-27,Sale,5.35,2024,6,Jun,2024-06,5.35
2024-06-30,2024-06-30,Sale,8.83,2024,6,Jun,2024-06,8.83
2024-06-30,2024-06-30,Sale,89.95,2024,6,Jun,2024-06,89.95
2024-06-30,2024-06-30,Sale,23.3,2024,6,Jun,2024-06,23.3
2024-07-01,2024-07-02,Sale,8.58,2024,7,Jul,2024-07,8.58
2024-07-02,2024-07-02,Sale,7.0,2024,7,Jul,2024-07,7.0
2024-07-03,2024-07-03,Sale,17.63,2024,7,Jul,2024-07,17.63
2024-07-05,2024-07-05,Sale,24.53,2024,7,Jul,2024-07,24.53
